Index,Layers,Activation,Loss,Epochs,Alpha,Beta,F1-Score,MCE
938,21-12-3,RELU,SSE,300,0.0001,0.5,84.89%,0.2635
612,21-12-3,TANH,SSE,500,0.0001,0.5,84.68%,0.2671
1182,21-15-20-3,ISRLU,SSE,300,0.0001,0.95,84.47%,0.2602
412,21-15-3,TANH,CEE,300,0.0001,0.75,84.47%,0.2767
840,21-12-3,RELU,MSE,500,0.0001,0.75,84.26%,0.2633
511,21-15-3,TANH,MSE,500,0.0001,0.5,84.26%,0.2647
958,21-15-3,RELU,SSE,300,0.0001,0.75,84.04%,0.2611
668,21-20-3,RELU,CEE,500,0.01,0.75,84.04%,0.2669
504,21-12-3,TANH,MSE,500,0.0001,0.5,83.83%,0.2655
959,21-20-3,RELU,SSE,300,0.0001,0.75,83.62%,0.2432
310,21-15-3,ISRLU,SSE,300,0.0001,0.75,83.62%,0.2552
536,21-20-3,TANH,MSE,500,0.0001,0.95,83.40%,0.2688
405,21-12-3,TANH,CEE,300,0.0001,0.5,83.40%,0.287
841,21-15-3,RELU,MSE,500,0.0001,0.75,82.98%,0.261
644,21-20-3,TANH,SSE,500,0.0001,0.95,82.98%,0.2713
369,21-12-3,TANH,CEE,300,0.001,0.5,82.98%,0.2819
1199,21-20-45-3,TANH,CEE,300,0.01,0.75,82.98%,0.2822
624,21-12-3,TANH,SSE,500,0.0001,0.75,82.77%,0.2664
208,21-15-3,ISRLU,MSE,300,0.0001,0.95,82.77%,0.2688
509,21-20-3,TANH,MSE,300,0.0001,0.5,82.77%,0.2732
415,21-15-3,TANH,CEE,500,0.0001,0.75,82.77%,0.2766
429,21-12-3,TANH,CEE,300,0.0001,0.95,82.77%,0.2895
1201,21-20-45-3,TANH,CEE,500,0.01,0.75,82.59%,0.2818
1183,21-20-45-3,ISRLU,SSE,300,0.0001,0.95,82.55%,0.2657
619,21-15-3,TANH,SSE,500,0.0001,0.5,82.55%,0.2767
631,21-15-3,TANH,SSE,500,0.0001,0.75,82.34%,0.2738
951,21-12-3,RELU,SSE,300,0.0001,0.75,82.34%,0.2742
1317,21-20-45-3,TANH,MSE,500,0.0001,0.75,82.34%,0.2751
388,21-15-3,TANH,CEE,300,0.001,0.95,82.34%,0.2831
1228,21-15-20-3,TANH,CEE,500,0.001,0.95,82.34%,0.2832
1232,21-15-20-3,TANH,CEE,500,0.001,0.95,82.34%,0.2832
1235,21-20-45-3,TANH,CEE,300,0.001,0.95,82.34%,0.2832
373,21-15-3,TANH,CEE,500,0.001,0.75,82.34%,0.2834
1223,21-20-45-3,TANH,CEE,300,0.001,0.75,82.34%,0.2834
1225,21-20-45-3,TANH,CEE,500,0.001,0.75,82.34%,0.2834
1226,21-15-20-3,TANH,CEE,300,0.001,0.75,82.34%,0.2834
1188,21-15-20-3,TANH,CEE,500,0.01,0.5,82.34%,0.284
348,21-12-3,TANH,CEE,500,0.01,0.95,82.34%,0.2851
351,21-12-3,TANH,CEE,300,0.01,0.95,82.34%,0.2851
1205,21-20-45-3,TANH,CEE,500,0.01,0.95,82.34%,0.2851
1206,21-15-20-3,TANH,CEE,300,0.01,0.95,82.34%,0.2851
1210,21-15-20-3,TANH,CEE,300,0.01,0.95,82.34%,0.2851
344,21-15-3,TANH,CEE,300,0.01,0.75,82.34%,0.2852
346,21-12-3,TANH,CEE,300,0.01,0.75,82.34%,0.2852
1196,21-15-20-3,TANH,CEE,500,0.01,0.75,82.34%,0.2852
1198,21-15-20-3,TANH,CEE,300,0.01,0.75,82.34%,0.2852
1190,21-15-20-3,TANH,CEE,300,0.01,0.5,82.34%,0.2854
1192,21-15-20-3,TANH,CEE,500,0.01,0.5,82.34%,0.2854
1194,21-15-20-3,TANH,CEE,300,0.01,0.5,82.34%,0.2854
1320,21-15-20-3,TANH,MSE,500,0.0001,0.75,82.13%,0.2718
1253,21-20-45-3,TANH,CEE,500,0.0001,0.95,82.13%,0.273
1257,21-20-45-3,TANH,CEE,500,0.0001,0.95,82.13%,0.2812
1244,21-15-20-3,TANH,CEE,500,0.0001,0.75,81.91%,0.2782
807,21-12-3,RELU,MSE,300,0.001,0.75,81.70%,0.2663
1252,21-15-20-3,TANH,CEE,500,0.0001,0.95,81.70%,0.2718
514,21-15-3,TANH,MSE,300,0.0001,0.5,81.70%,0.2744
420,21-12-3,TANH,CEE,500,0.0001,0.95,81.70%,0.2845
421,21-15-3,TANH,CEE,500,0.0001,0.95,81.70%,0.2855
403,21-15-3,TANH,CEE,500,0.0001,0.5,81.70%,0.2874
1240,21-15-20-3,TANH,CEE,500,0.0001,0.5,81.70%,0.2874
1258,21-15-20-3,TANH,CEE,300,0.0001,0.95,81.49%,0.2944
927,21-12-3,RELU,SSE,300,0.001,0.95,81.28%,0.2416
960,21-12-3,RELU,SSE,500,0.0001,0.95,81.28%,0.2601
396,21-12-3,TANH,CEE,500,0.0001,0.5,81.28%,0.2648
528,21-12-3,TANH,MSE,500,0.0001,0.95,81.28%,0.2651
963,21-12-3,RELU,SSE,300,0.0001,0.95,81.28%,0.2663
713,21-20-3,RELU,CEE,300,0.001,0.95,81.28%,0.2685
842,21-20-3,RELU,MSE,500,0.0001,0.75,81.28%,0.2689
747,21-12-3,RELU,CEE,300,0.0001,0.95,81.28%,0.273
506,21-20-3,TANH,MSE,500,0.0001,0.5,81.06%,0.2777
746,21-20-3,RELU,CEE,500,0.0001,0.95,81.06%,0.2857
1255,21-20-45-3,TANH,CEE,300,0.0001,0.95,81.06%,0.2943
637,21-15-3,TANH,SSE,500,0.0001,0.95,80.85%,0.2691
1324,21-15-20-3,TANH,MSE,500,0.0001,0.95,80.85%,0.2742
202,21-15-3,ISRLU,MSE,300,0.0001,0.75,80.85%,0.2748
1254,21-15-20-3,TANH,CEE,300,0.0001,0.95,80.85%,0.2907
423,21-12-3,TANH,CEE,300,0.0001,0.95,80.85%,0.2908
424,21-15-3,TANH,CEE,300,0.0001,0.95,80.85%,0.2914
813,21-12-3,RELU,MSE,300,0.001,0.75,80.80%,0.2521
964,21-15-3,RELU,SSE,300,0.0001,0.95,80.64%,0.2698
530,21-20-3,TANH,MSE,500,0.0001,0.95,80.64%,0.272
524,21-20-3,TANH,MSE,500,0.0001,0.75,80.64%,0.2809
518,21-15-3,TANH,MSE,300,0.0001,0.75,80.43%,0.2813
1250,21-15-20-3,TANH,CEE,300,0.0001,0.75,80.43%,0.2923
431,21-20-3,TANH,CEE,300,0.0001,0.95,80.43%,0.2961
879,21-12-3,RELU,SSE,300,0.01,0.75,80.21%,0.2635
399,21-12-3,TANH,CEE,300,0.0001,0.5,80.21%,0.2877
1331,21-20-45-3,TANH,MSE,300,0.0001,0.95,80.00%,0.2765
519,21-20-3,TANH,MSE,300,0.0001,0.75,80.00%,0.2775
858,21-12-3,RELU,MSE,500,0.0001,0.95,80.00%,0.2823
401,21-20-3,TANH,CEE,300,0.0001,0.5,80.00%,0.2826
952,21-15-3,RELU,SSE,300,0.0001,0.75,80.00%,0.2826
948,21-12-3,RELU,SSE,500,0.0001,0.75,80.00%,0.2831
615,21-12-3,TANH,SSE,300,0.0001,0.5,80.00%,0.2836
1197,21-20-45-3,TANH,CEE,500,0.01,0.75,80.00%,0.2883
1325,21-20-45-3,TANH,MSE,500,0.0001,0.95,79.79%,0.2707
411,21-12-3,TANH,CEE,300,0.0001,0.75,79.79%,0.2782
426,21-12-3,TANH,CEE,500,0.0001,0.95,79.79%,0.2808
522,21-12-3,TANH,MSE,300,0.0001,0.75,79.79%,0.2836
733,21-15-3,RELU,CEE,500,0.0001,0.75,79.79%,0.2837
417,21-12-3,TANH,CEE,300,0.0001,0.75,79.79%,0.3
640,21-15-3,TANH,SSE,300,0.0001,0.95,79.57%,0.2845
430,21-15-3,TANH,CEE,300,0.0001,0.95,79.57%,0.287
1259,21-20-45-3,TANH,CEE,300,0.0001,0.95,79.57%,0.2994
726,21-12-3,RELU,CEE,500,0.0001,0.5,79.57%,0.3031
920,21-20-3,RELU,SSE,500,0.001,0.75,79.36%,0.2657
1309,21-20-45-3,TANH,MSE,500,0.0001,0.5,79.36%,0.2678
621,21-12-3,TANH,SSE,300,0.0001,0.5,79.36%,0.2773
940,21-15-3,RELU,SSE,500,0.0001,0.5,79.36%,0.2779
617,21-20-3,TANH,SSE,300,0.0001,0.5,79.36%,0.2821
641,21-20-3,TANH,SSE,300,0.0001,0.95,79.36%,0.2857
702,21-12-3,RELU,CEE,500,0.001,0.75,79.15%,0.2688
969,21-12-3,RELU,SSE,300,0.0001,0.95,79.15%,0.2725
613,21-15-3,TANH,SSE,500,0.0001,0.5,79.15%,0.2754
638,21-20-3,TANH,SSE,500,0.0001,0.95,79.15%,0.2839
1316,21-15-20-3,TANH,MSE,500,0.0001,0.75,79.15%,0.2848
898,21-15-3,RELU,SSE,300,0.01,0.95,78.94%,0.2623
967,21-15-3,RELU,SSE,500,0.0001,0.95,78.94%,0.2628
942,21-12-3,RELU,SSE,500,0.0001,0.5,78.94%,0.2709
183,21-12-3,ISRLU,MSE,300,0.0001,0.5,78.94%,0.2818
215,21-20-3,ISRLU,MSE,300,0.0001,0.95,78.72%,0.2768
531,21-12-3,TANH,MSE,300,0.0001,0.95,78.72%,0.2884
618,21-12-3,TANH,SSE,500,0.0001,0.5,78.51%,0.2739
1329,21-20-45-3,TANH,MSE,500,0.0001,0.95,78.51%,0.2831
5,21-20-3,ISRLU,CEE,300,0.01,0.5,78.30%,0.2783
198,21-12-3,ISRLU,MSE,500,0.0001,0.75,78.30%,0.281
407,21-20-3,TANH,CEE,300,0.0001,0.5,78.30%,0.2897
1308,21-15-20-3,TANH,MSE,500,0.0001,0.5,78.09%,0.2721
946,21-15-3,RELU,SSE,300,0.0001,0.5,78.09%,0.2726
413,21-20-3,TANH,CEE,300,0.0001,0.75,78.09%,0.2896
533,21-20-3,TANH,MSE,300,0.0001,0.95,77.87%,0.2735
419,21-20-3,TANH,CEE,300,0.0001,0.75,77.87%,0.2846
954,21-12-3,RELU,SSE,500,0.0001,0.75,77.66%,0.2765
520,21-12-3,TANH,MSE,500,0.0001,0.75,77.66%,0.2804
539,21-20-3,TANH,MSE,300,0.0001,0.95,77.66%,0.2828
971,21-20-3,RELU,SSE,300,0.0001,0.95,77.66%,0.289
425,21-20-3,TANH,CEE,300,0.0001,0.95,77.66%,0.3007
913,21-15-3,RELU,SSE,500,0.001,0.75,77.45%,0.2694
850,21-15-3,RELU,MSE,300,0.0001,0.75,77.23%,0.285
832,21-15-3,RELU,MSE,300,0.0001,0.5,77.23%,0.2853
406,21-15-3,TANH,CEE,300,0.0001,0.5,77.23%,0.2946
616,21-15-3,TANH,SSE,300,0.0001,0.5,77.02%,0.2835
510,21-12-3,TANH,MSE,500,0.0001,0.5,77.02%,0.2867
1189,21-20-45-3,TANH,CEE,500,0.01,0.5,77.02%,0.2926
714,21-12-3,RELU,CEE,500,0.001,0.95,77.02%,0.2954
828,21-12-3,RELU,MSE,500,0.0001,0.5,76.60%,0.272
512,21-20-3,TANH,MSE,500,0.0001,0.5,76.60%,0.2727
1321,21-20-45-3,TANH,MSE,500,0.0001,0.75,76.60%,0.2794
860,21-20-3,RELU,MSE,500,0.0001,0.95,76.60%,0.2796
936,21-12-3,RELU,SSE,500,0.0001,0.5,76.60%,0.2841
847,21-15-3,RELU,MSE,500,0.0001,0.75,76.60%,0.2905
306,21-12-3,ISRLU,SSE,500,0.0001,0.75,76.38%,0.2819
525,21-12-3,TANH,MSE,300,0.0001,0.75,76.38%,0.2843
1326,21-15-20-3,TANH,MSE,300,0.0001,0.95,76.17%,0.2826
196,21-15-3,ISRLU,MSE,300,0.0001,0.75,75.96%,0.2678
1327,21-20-45-3,TANH,MSE,300,0.0001,0.95,75.96%,0.2841
916,21-15-3,RELU,SSE,300,0.001,0.75,75.74%,0.2576
965,21-20-3,RELU,SSE,300,0.0001,0.95,75.74%,0.2886
629,21-20-3,TANH,SSE,300,0.0001,0.75,75.53%,0.2836
831,21-12-3,RELU,MSE,300,0.0001,0.5,75.53%,0.2849
711,21-12-3,RELU,CEE,300,0.001,0.95,75.53%,0.2995
957,21-12-3,RELU,SSE,300,0.0001,0.75,75.32%,0.2753
508,21-15-3,TANH,MSE,300,0.0001,0.5,75.32%,0.2834
1330,21-15-20-3,TANH,MSE,300,0.0001,0.95,75.32%,0.2841
322,21-15-3,ISRLU,SSE,300,0.0001,0.95,75.32%,0.2865
400,21-15-3,TANH,CEE,300,0.0001,0.5,75.32%,0.3015
905,21-20-3,RELU,SSE,300,0.001,0.5,75.27%,0.2897
642,21-12-3,TANH,SSE,500,0.0001,0.95,75.11%,0.2855
614,21-20-3,TANH,SSE,500,0.0001,0.5,75.11%,0.2861
1311,21-20-45-3,TANH,MSE,300,0.0001,0.5,75.11%,0.2868
521,21-20-3,TANH,MSE,500,0.0001,0.75,74.89%,0.2819
1328,21-15-20-3,TANH,MSE,500,0.0001,0.95,74.89%,0.2867
418,21-15-3,TANH,CEE,300,0.0001,0.75,74.89%,0.3032
505,21-15-3,TANH,MSE,500,0.0001,0.5,74.68%,0.2818
675,21-12-3,RELU,CEE,300,0.01,0.95,74.68%,0.2967
647,21-20-3,TANH,SSE,300,0.0001,0.95,74.47%,0.3
664,21-15-3,RELU,CEE,300,0.01,0.75,74.47%,0.3005
648,21-12-3,RELU,CEE,500,0.01,0.5,74.47%,0.3158
516,21-12-3,TANH,MSE,500,0.0001,0.75,74.26%,0.2866
776,21-20-3,RELU,MSE,500,0.01,0.75,73.83%,0.2736
672,21-12-3,RELU,CEE,500,0.01,0.95,73.83%,0.301
515,21-20-3,TANH,MSE,300,0.0001,0.5,73.62%,0.2861
1246,21-15-20-3,TANH,CEE,300,0.0001,0.75,73.62%,0.2952
680,21-20-3,RELU,CEE,500,0.01,0.95,73.62%,0.2981
622,21-15-3,TANH,SSE,300,0.0001,0.5,73.40%,0.2861
649,21-15-3,RELU,CEE,500,0.01,0.5,73.40%,0.3019
737,21-20-3,RELU,CEE,300,0.0001,0.75,73.40%,0.3027
291,21-12-3,ISRLU,SSE,300,0.0001,0.5,73.19%,0.2893
736,21-15-3,RELU,CEE,300,0.0001,0.75,73.19%,0.3044
625,21-15-3,TANH,SSE,500,0.0001,0.75,72.98%,0.2812
1323,21-20-45-3,TANH,MSE,300,0.0001,0.75,72.98%,0.2853
627,21-12-3,TANH,SSE,300,0.0001,0.75,72.98%,0.2908
730,21-15-3,RELU,CEE,300,0.0001,0.5,72.77%,0.3252
623,21-20-3,TANH,SSE,300,0.0001,0.5,72.55%,0.2794
538,21-15-3,TANH,MSE,300,0.0001,0.95,72.55%,0.2922
1319,21-20-45-3,TANH,MSE,300,0.0001,0.75,72.34%,0.2837
639,21-12-3,TANH,SSE,300,0.0001,0.95,72.13%,0.3045
731,21-20-3,RELU,CEE,300,0.0001,0.5,71.91%,0.2726
821,21-20-3,RELU,MSE,300,0.001,0.95,71.91%,0.2881
728,21-20-3,RELU,CEE,500,0.0001,0.5,71.91%,0.318
527,21-20-3,TANH,MSE,300,0.0001,0.75,71.70%,0.2886
760,21-15-3,RELU,MSE,300,0.01,0.5,71.49%,0.2685
517,21-15-3,TANH,MSE,500,0.0001,0.75,71.28%,0.2848
646,21-15-3,TANH,SSE,300,0.0001,0.95,71.28%,0.2991
628,21-15-3,TANH,SSE,300,0.0001,0.75,71.06%,0.2884
752,21-20-3,RELU,CEE,500,0.0001,0.95,71.06%,0.3074
507,21-12-3,TANH,MSE,300,0.0001,0.5,70.85%,0.2858
759,21-12-3,RELU,MSE,300,0.01,0.5,70.64%,0.2836
1243,21-20-45-3,TANH,CEE,300,0.0001,0.5,70.43%,0.3145
1310,21-15-20-3,TANH,MSE,300,0.0001,0.5,70.21%,0.2976
846,21-12-3,RELU,MSE,500,0.0001,0.75,70.21%,0.3035
811,21-15-3,RELU,MSE,500,0.001,0.75,69.85%,0.3098
743,21-20-3,RELU,CEE,300,0.0001,0.75,69.79%,0.3236
532,21-15-3,TANH,MSE,300,0.0001,0.95,69.57%,0.2872
537,21-12-3,TANH,MSE,300,0.0001,0.95,69.57%,0.2889
1322,21-15-20-3,TANH,MSE,300,0.0001,0.75,69.57%,0.2895
742,21-15-3,RELU,CEE,300,0.0001,0.75,69.36%,0.3161
745,21-15-3,RELU,CEE,500,0.0001,0.95,69.36%,0.3169
886,21-15-3,RELU,SSE,300,0.01,0.75,68.94%,0.2825
837,21-12-3,RELU,MSE,300,0.0001,0.5,68.30%,0.296
643,21-15-3,TANH,SSE,500,0.0001,0.95,68.09%,0.2872
634,21-15-3,TANH,SSE,300,0.0001,0.75,67.87%,0.2894
630,21-12-3,TANH,SSE,500,0.0001,0.75,67.66%,0.2888
513,21-12-3,TANH,MSE,300,0.0001,0.5,67.66%,0.3002
645,21-12-3,TANH,SSE,300,0.0001,0.95,67.45%,0.2882
523,21-15-3,TANH,MSE,500,0.0001,0.75,67.02%,0.2906
526,21-15-3,TANH,MSE,300,0.0001,0.75,66.81%,0.2924
1313,21-20-45-3,TANH,MSE,500,0.0001,0.5,66.38%,0.2896
635,21-20-3,TANH,SSE,300,0.0001,0.75,66.17%,0.2889
535,21-15-3,TANH,MSE,500,0.0001,0.95,65.96%,0.2888
626,21-20-3,TANH,SSE,500,0.0001,0.75,65.32%,0.2893
1312,21-15-20-3,TANH,MSE,500,0.0001,0.5,65.32%,0.2893
633,21-12-3,TANH,SSE,300,0.0001,0.75,65.32%,0.2925
1318,21-15-20-3,TANH,MSE,300,0.0001,0.75,65.32%,0.2942
1315,21-20-45-3,TANH,MSE,300,0.0001,0.5,65.32%,0.3036
1251,21-20-45-3,TANH,CEE,300,0.0001,0.75,65.32%,0.3141
1238,21-15-20-3,TANH,CEE,300,0.0001,0.5,65.32%,0.3172
1202,21-15-20-3,TANH,CEE,300,0.01,0.75,65.32%,0.3183
1242,21-15-20-3,TANH,CEE,300,0.0001,0.5,65.32%,0.3221
1314,21-15-20-3,TANH,MSE,300,0.0001,0.5,65.32%,0.323
890,21-20-3,RELU,SSE,500,0.01,0.95,65.32%,0.327
897,21-12-3,RELU,SSE,300,0.01,0.95,65.32%,0.327
722,21-20-3,RELU,CEE,500,0.0001,0.5,65.32%,0.329
862,21-15-3,RELU,MSE,300,0.0001,0.95,43.19%,0.3449
46,21-15-3,ISRLU,CEE,300,0.001,0.5,17.66%, NaN
652,21-15-3,RELU,CEE,300,0.01,0.5,17.66%, NaN
657,21-12-3,RELU,CEE,300,0.01,0.5,17.66%, NaN
662,21-20-3,RELU,CEE,500,0.01,0.75,17.66%, NaN
667,21-15-3,RELU,CEE,500,0.01,0.75,17.66%, NaN
669,21-12-3,RELU,CEE,300,0.01,0.75,17.66%, NaN
670,21-15-3,RELU,CEE,300,0.01,0.75,17.66%, NaN
671,21-20-3,RELU,CEE,300,0.01,0.75,17.66%, NaN
673,21-15-3,RELU,CEE,500,0.01,0.95,17.66%, NaN
676,21-15-3,RELU,CEE,300,0.01,0.95,17.66%, NaN
679,21-15-3,RELU,CEE,500,0.01,0.95,17.66%, NaN
681,21-12-3,RELU,CEE,300,0.01,0.95,17.66%, NaN
688,21-15-3,RELU,CEE,300,0.001,0.5,17.66%, NaN
691,21-15-3,RELU,CEE,500,0.001,0.5,17.66%, NaN
693,21-12-3,RELU,CEE,300,0.001,0.5,17.66%, NaN
696,21-12-3,RELU,CEE,500,0.001,0.75,17.66%, NaN
704,21-20-3,RELU,CEE,500,0.001,0.75,17.66%, NaN
706,21-15-3,RELU,CEE,300,0.001,0.75,17.66%, NaN
715,21-15-3,RELU,CEE,500,0.001,0.95,17.66%, NaN
718,21-15-3,RELU,CEE,300,0.001,0.95,17.66%, NaN
719,21-20-3,RELU,CEE,300,0.001,0.95,17.66%, NaN
721,21-15-3,RELU,CEE,500,0.0001,0.5,17.66%, NaN
723,21-12-3,RELU,CEE,300,0.0001,0.5,17.66%, NaN
734,21-20-3,RELU,CEE,500,0.0001,0.75,17.66%, NaN
744,21-12-3,RELU,CEE,500,0.0001,0.95,17.66%, NaN
750,21-12-3,RELU,CEE,500,0.0001,0.95,17.66%, NaN
756,21-12-3,RELU,MSE,500,0.01,0.5,17.66%, NaN
757,21-15-3,RELU,MSE,500,0.01,0.5,17.66%, NaN
758,21-20-3,RELU,MSE,500,0.01,0.5,17.66%, NaN
762,21-12-3,RELU,MSE,500,0.01,0.5,17.66%, NaN
763,21-15-3,RELU,MSE,500,0.01,0.5,17.66%, NaN
764,21-20-3,RELU,MSE,500,0.01,0.5,17.66%, NaN
765,21-12-3,RELU,MSE,300,0.01,0.5,17.66%, NaN
766,21-15-3,RELU,MSE,300,0.01,0.5,17.66%, NaN
768,21-12-3,RELU,MSE,500,0.01,0.75,17.66%, NaN
769,21-15-3,RELU,MSE,500,0.01,0.75,17.66%, NaN
773,21-20-3,RELU,MSE,300,0.01,0.75,17.66%, NaN
774,21-12-3,RELU,MSE,500,0.01,0.75,17.66%, NaN
775,21-15-3,RELU,MSE,500,0.01,0.75,17.66%, NaN
778,21-15-3,RELU,MSE,300,0.01,0.75,17.66%, NaN
779,21-20-3,RELU,MSE,300,0.01,0.75,17.66%, NaN
782,21-20-3,RELU,MSE,500,0.01,0.95,17.66%, NaN
783,21-12-3,RELU,MSE,300,0.01,0.95,17.66%, NaN
785,21-20-3,RELU,MSE,300,0.01,0.95,17.66%, NaN
787,21-15-3,RELU,MSE,500,0.01,0.95,17.66%, NaN
788,21-20-3,RELU,MSE,500,0.01,0.95,17.66%, NaN
790,21-15-3,RELU,MSE,300,0.01,0.95,17.66%, NaN
791,21-20-3,RELU,MSE,300,0.01,0.95,17.66%, NaN
793,21-15-3,RELU,MSE,500,0.001,0.5,17.66%, NaN
796,21-15-3,RELU,MSE,300,0.001,0.5,17.66%, NaN
801,21-12-3,RELU,MSE,300,0.001,0.5,17.66%, NaN
825,21-12-3,RELU,MSE,300,0.001,0.95,17.66%, NaN
864,21-12-3,RELU,SSE,500,0.01,0.5,17.66%, NaN
865,21-15-3,RELU,SSE,500,0.01,0.5,17.66%, NaN
872,21-12-3,RELU,SSE,500,0.01,0.5,17.66%, NaN
874,21-20-3,RELU,SSE,500,0.01,0.5,17.66%, NaN
876,21-12-3,RELU,SSE,500,0.01,0.75,17.66%, NaN
877,21-15-3,RELU,SSE,500,0.01,0.75,17.66%, NaN
878,21-20-3,RELU,SSE,500,0.01,0.75,17.66%, NaN
880,21-15-3,RELU,SSE,300,0.01,0.75,17.66%, NaN
881,21-20-3,RELU,SSE,300,0.01,0.75,17.66%, NaN
882,21-12-3,RELU,SSE,500,0.01,0.75,17.66%, NaN
883,21-15-3,RELU,SSE,500,0.01,0.75,17.66%, NaN
884,21-20-3,RELU,SSE,500,0.01,0.75,17.66%, NaN
885,21-12-3,RELU,SSE,300,0.01,0.75,17.66%, NaN
887,21-20-3,RELU,SSE,300,0.01,0.75,17.66%, NaN
889,21-15-3,RELU,SSE,500,0.01,0.95,17.66%, NaN
892,21-15-3,RELU,SSE,300,0.01,0.95,17.66%, NaN
894,21-12-3,RELU,SSE,500,0.01,0.95,17.66%, NaN
896,21-20-3,RELU,SSE,500,0.01,0.95,17.66%, NaN
899,21-20-3,RELU,SSE,300,0.01,0.95,17.66%, NaN
900,21-12-3,RELU,SSE,500,0.001,0.5,17.66%, NaN
902,21-20-3,RELU,SSE,500,0.001,0.5,17.66%, NaN
906,21-12-3,RELU,SSE,500,0.001,0.5,17.66%, NaN
911,21-20-3,RELU,SSE,300,0.001,0.5,17.66%, NaN
919,21-15-3,RELU,SSE,500,0.001,0.75,17.66%, NaN
922,21-15-3,RELU,SSE,300,0.001,0.75,17.66%, NaN
932,21-20-3,RELU,SSE,500,0.001,0.95,17.66%, NaN
972,21-15-20-3,ISRLU,CEE,500,0.01,0.5,17.66%, NaN
981,21-20-45-3,ISRLU,CEE,500,0.01,0.75,17.66%, NaN
991,21-20-45-3,ISRLU,CEE,300,0.01,0.95,17.66%, NaN
997,21-20-45-3,ISRLU,CEE,500,0.001,0.5,17.66%, NaN
1006,21-15-20-3,ISRLU,CEE,300,0.001,0.75,17.66%, NaN
1008,21-15-20-3,ISRLU,CEE,500,0.001,0.75,17.66%, NaN
1013,21-20-45-3,ISRLU,CEE,500,0.001,0.95,17.66%, NaN
1023,21-15-20-3,ISRLU,CEE,300,0.0001,0.5,17.66%, NaN
1036,21-20-45-3,ISRLU,CEE,500,0.0001,0.95,17.66%, NaN
1044,21-15-20-3,ISRLU,MSE,500,0.01,0.5,17.66%, NaN
1064,21-15-20-3,ISRLU,MSE,500,0.01,0.95,17.66%, NaN
1068,21-15-20-3,ISRLU,MSE,500,0.001,0.5,17.66%, NaN
1074,21-15-20-3,ISRLU,MSE,300,0.001,0.5,17.66%, NaN
1079,21-20-45-3,ISRLU,MSE,300,0.001,0.75,17.66%, NaN
1090,21-15-20-3,ISRLU,MSE,300,0.001,0.95,17.66%, NaN
1103,21-20-45-3,ISRLU,MSE,300,0.0001,0.75,17.66%, NaN
1119,21-20-45-3,ISRLU,SSE,300,0.01,0.5,17.66%, NaN
1123,21-20-45-3,ISRLU,SSE,300,0.01,0.5,17.66%, NaN
1127,21-20-45-3,ISRLU,SSE,300,0.01,0.75,17.66%, NaN
1133,21-20-45-3,ISRLU,SSE,500,0.01,0.95,17.66%, NaN
1141,21-20-45-3,ISRLU,SSE,500,0.001,0.5,17.66%, NaN
1142,21-15-20-3,ISRLU,SSE,300,0.001,0.5,17.66%, NaN
1161,21-20-45-3,ISRLU,SSE,500,0.001,0.95,17.66%, NaN
1169,21-20-45-3,ISRLU,SSE,500,0.0001,0.5,17.66%, NaN
1173,21-20-45-3,ISRLU,SSE,500,0.0001,0.75,17.66%, NaN
1366,21-15-20-3,TANH,SSE,300,,,,
